ka,JP-rubi,JP-kanji,english,exa,EN-sentence,NP1,NP-sentence,JP-question,カンデルサイン,S1,S3,S5,S7,S2,S4,N2,N4,N6,N8,,,,,,,,,
11,アドバイス,,advice,先輩に仕事のアドバイスをしてもらった。,I received job advice from my senior.,सल्लाह,मैले मेरो सिनियरबाट काम सम्बन्धी सल्लाह पाएँ।,先輩に仕事の（　）をしてもらった,１,,,,,,,,,,,,,,,,,,,
12,あな,穴,hole,木の穴から小さい動物が出て来た。,A little animal emerged from a hole in the tree.,प्वाल,रुखको प्वालबाट एउटा सानो जनावर निस्कियो।,木の（　）から小さい動物が出て来た,１,,,,,,,,,,,,,,,,,,,
13,あまり,余り,leftover/remainder,余りの布で小さな袋を作った。,I made a little bag from the leftover cloth.,बाँकी,मैले बाँकी कपडाबाट एउटा सानो झोला बनाएँ।,（　）の布で小さな袋を作った,１,,,,,,,,,,,,,,,,,,,
14,アンケート,,questionnaire/survey,会社は新製品の評判をアンケートで調べた。,The company investigated the reputation of its new product through a survey.,प्रश्नावली,कम्पनीले आफ्नो नयाँ उत्पादनको प्रतिष्ठा प्रश्नावलीको माध्यमबाट जाँच गर्‍यो।,会社は新製品の評判を（　）で調べた,１,,,,,,,,,,,,,,,,,,,
15,いたずら,,mischief,子供の頃、よくいたずらをした。,"When I was a child, I got up to lots of mischief.",शरारत,"बाल्यकालमा, मैले धेरै शरारत गर्थें।",子供の頃、よく（　）をした,１,,,,,,,,,,,,,,,,,,,
16,いちぶ,一部,part,市は道路の建設計画の一部を変更した。,The city modified part of the construction plan for the city road.,भाग,शहरले सडक निर्माण योजनाको केही भाग परिवर्तन गर्यो।,市は道路の建設計画の（　）を変更した,１,,,,,,,,,,,,,,,,,,,
17,いっしゅん,一瞬,a moment/second,事故は一瞬の出来事で、誰も見ていなかった。,"As the accident happened in a split second, no one saw it.",क्षण,"दुर्घटना एक क्षणमा भयो, कसैले पनि देखेन।",事故は（　）の出来事で、誰も見ていなかった,１,,,,,,,,,,,,,,,,,,,
18,いはん,違反（する）,"breach, violation",交通規則に違反して、お金を取られた。,"As I broke the traffic regulations, I was fined.",उल्लंघन,मैले यातायात नियम उल्लंघन गरेकोले जरिवाना तिर्नु पर्यो।,交通規則に（　）して、お金を取られた,１,,,,,,,,,,,,,,,,,,,
19,イベント,,event,祭りではカラオケ大会のイベントがあった。,"At the festival, there was a karaoke contest event.",कार्यक्रम,त्यस उत्सवमा कराओके प्रतियोगिताको कार्यक्रम थियो।,祭りでは（　）大会のイベントがあった,１,,,,,,,,,,,,,,,,,,,
20,イメージ,,image,旅行して、その国のイメージが変わった。,My image of that country has changed since I traveled there.,छवि,"त्यहाँ यात्रा गरेपछि, त्यो देशको बारेमा मेरो छवि परिवर्तन भयो।",旅行して、その国の（　）が変わった,１,,,,,,,,,,,,,,,,,,,
21,いんさつ,印刷（する）,print,お祭りのポスターを100部印刷した。,We printed 100 copies of the festival poster.,छाप्नु,हामीले उत्सवको पोस्टरको १०० प्रति छाप्यौं।,お祭りのポスターを100部（　）した,１,,,,,,,,,,,,,,,,,,,
22,いんしょう,印象,impression,面接のとき、彼の印象はとても良かった。,"During the interview, he made a very good impression.",छाप,"अन्तर्वार्ताको समयमा, उनले धेरै राम्रो छाप छोडे।",面接のとき、彼の（　）はとても良かった,１,,,,,,,,,,,,,,,,,,,
23,インタビュー,,interview,優勝した選手がインタビューに答えた。,The winning athlete answered questions in the interview.,अन्तर्वार्ता,विजेता खेलाडीले अन्तर्वार्तामा प्रश्नहरूको जवाफ दिए।,優勝した選手が（　）に答えた,１,,,,,,,,,,,,,,,,,,,
24,うそ,嘘,lie,彼女の話は、うそが多くて信用できない。,What she says is full of lies and can't be trusted.,झुट,उनले भनेको कुरामा धेरै झुट छ र विश्वास गर्न सकिँदैन।,彼女の話は、（　）が多くて信用できない,１,,,,,,,,,,,,,,,,,,,
25,うちがわ,内側,inside,このかばんは内側にポケットが２つある。,This bag has two pockets inside.,भित्री भाग,यो झोलाको भित्री भागमा दुईवटा खल्ती छन्।,このかばんは（　）にポケットが２つある,１,,,,,,,,,,,,,,,,,,,
26,エアメール,,airmail,エアメールなら、３日くらいで届きます。,"If by airmail, it'll take about three days to arrive.",हवाई मेल,"हवाई मेलबाट पठाए, यो लगभग तीन दिनमा पुग्नेछ।",（　）なら、３日くらいで届きます,１,,,,,,,,,,,,,,,,,,,
27,えいきょう,影響（する）,influence,事故の影響で道が渋滞している。,The accident caused a traffic jam in the street.,प्रभाव,दुर्घटनाको प्रभावले सडकमा जाम भएको छ।,事故の（　）で道が渋滞している,１,,,,,,,,,,,,,,,,,,,
28,えいぎょう,営業（する）,"business operation, sales",あの店は日曜日も営業している。,That shop is open for business even on Sundays.,व्यापार,त्यो पसल आइतबार पनि खुला छ।,あの店は日曜日も（　）している,１,,,,,,,,,,,,,,,,,,,
29,エコ,,eco(ecology),車より電車を使うほうがエコになる。,It is more ecological to use a train than a car.,पर्यावरण मैत्री,कारको तुलनामा रेल प्रयोग गर्नु बढी पर्यावरण मैत्री हुन्छ।,車より電車を使うほうが（　）になる,１,,,,,,,,,,,,,,,,,,,
30,エネルギー,,energy,現在、石油がエネルギーの中心だ。,"Currently, oil is the main source of energy.",ऊर्जा,"अहिले, तेल ऊर्जाको मुख्य स्रोत हो।",現在、石油が（　）の中心だ,１,,,,,,,,,,,,,,,,,,,
31,オイル,,oil,世界的にオイルの値段が上がっている。,The price of oil is increasing around the world.,तेल,संसारभरि तेलको मूल्य बढ्दै छ।,世界的に（　）の値段が上がっている,１,,,,,,,,,,,,,,,,,,,
32,（お）いわい,（お）祝い,"celebration, (congratulatory) gift",友人に結婚のお祝いを贈った。,I sent a wedding gift to my friend.,शुभकामना,मैले मेरो साथीलाई विवाहको शुभकामना उपहार पठाएँ।,友人に結婚の（　）を贈った,１,,,,,,,,,,,,,,,,,,,
33,おうえん,応援（する）,"support, cheer",野球の試合で友人のチームを応援した。,"At a baseball game, I cheered for my friend's team.",समर्थन,बेसबल खेलमा मैले मेरो साथीको टोलीलाई समर्थन गरें।,野球の試合で友人のチームを（　）した,１,,,,,,,,,,,,,,,,,,,
34,おおがた,大型,large size,家族が多いので、大型の冷蔵庫を買った。,"Because my family is big, I bought a large-size fridge.",ठूलो आकार,"परिवार ठूलो भएकोले, मैले ठूलो आकारको फ्रिज किनें।",家族が多いので、（　）の冷蔵庫を買った,１,,,,,,,,,,,,,,,,,,,
35,オーケー,,"okay, fine",手伝ってほしいと頼まれて、オーケーした。,They asked me for help and I said okay.,ठिक छ,"उनीहरूले मलाई मद्दत माग्दा, मैले ठिक छ भनें।",手伝ってほしいと頼まれて、（　）した,１,,,,,,,,,,,,,,,,,,,
36,おじぎ,,bow,祖母は丁寧におじぎをして挨拶する。,My grandmother greets people with a polite bow.,शिष्टाचार झुकाव,मेरी हजुरआमाले मानिसहरूलाई शिष्टाचारपूर्वक झुकेर अभिवादन गर्नुहुन्छ।,祖母は丁寧に（　）をして挨拶する,１,,,,,,,,,,,,,,,,,,,
37,おしゃべり,,chat,久しぶりに会った友達とおしゃべりをした。,I chatted to a friend I hadn't seen in a long time.,गफगाफ,धेरै समयपछि भेटेको साथीसँग मैले गफगाफ गरें।,久しぶりに会った友達と（　）をした,１,,,,,,,,,,,,,,,,,,,
38,おとしもの,落とし物,lost property,道で落とし物を見付けて、交番に届けた。,I found some lost property in the street and took it to the police box.,हराएको वस्तु,मैले सडकमा हराएको वस्तु फेला पारेर प्रहरी चौकीमा बुझाएँ।,道で（　）を見付けて、交番に届けた,１,,,,,,,,,,,,,,,,,,,
39,おもいで,思い出,memory,北海道旅行は学生時代のいい思い出だ。,The trip to Hokkaido is a fond memory of my school days.,सम्झना,होक्काइदो यात्रा मेरो विद्यार्थी जीवनको राम्रो सम्झना हो।,北海道旅行は学生時代のいい（　）だ,１,,,,,,,,,,,,,,,,,,,
40,オリンピック,,Olympics,オリンピックは国際的なスポーツの大会だ。,The Olympics is an international sports meeting.,ओलम्पिक,ओलम्पिक एक अन्तर्राष्ट्रिय खेलकुद प्रतियोगिता हो।,（　）は国際的なスポーツの大会だ,１,,,,,,,,,,,,,,,,,,,
41,カード,,"card, credit card",支払いはカードですることにした。,I decided to pay by credit card.,कार्ड,मैले क्रेडिट कार्डबाट भुक्तानी गर्ने निर्णय गरें।,支払いは（　）ですることにした,１,,,,,,,,,,,,,,,,,,,
42,かいかい,開会（する）,opening of a meeting,国際会議で、開会のまえに首相が挨拶した。,"Before the opening of the international conference, the prime minister made an address.",उद्घाटन,अन्तर्राष्ट्रिय सम्मेलनको उद्घाटन अघि प्रधानमन्त्रीले सम्बोधन गर्नुभयो।,国際会議で、（　）のまえに首相が挨拶した,１,,,,,,,,,,,,,,,,,,,
43,かいけつ,解決（する）,"solution, settlement",関係者が話し合って、問題を解決した。,The people concerned had discussions and solved the problem.,समाधान,सम्बन्धित व्यक्तिहरूले छलफल गरेर समस्याको समाधान गरे।,関係者が話し合って、問題を（　）した,１,,,,,,,,,,,,,,,,,,,
44,がいしゅつ,外出（する）,going out,これから急用で外出するところだ。,I'm on the point of going out on urgent business.,बाहिर जानु,म अहिले जरुरी काममा बाहिर जाने क्रममा छु।,これから急用で（　）するところだ,１,,,,,,,,,,,,,,,,,,,
45,かいせい,改正（する）,"revision, amendment",法律の改正は国会で行う。,Amendments to laws are carried out in the Diet.,संशोधन,कानूनको संशोधन संसदमा गरिन्छ।,法律の（　）は国会で行う,１,,,,,,,,,,,,,,,,,,,
46,かいせつ,解説（する）,explanation,A教授は新しい法律について解説した。,Prof. A explained about the new law.,व्याख्या,प्राध्यापक A ले नयाँ कानूनको बारेमा व्याख्या गर्नुभयो।,A教授は新しい法律について（　）した,１,,,,,,,,,,,,,,,,,,,
47,かいてん,回転（する）,"revolving, spin",ボールは回転しながら遠くに飛んだ。,The ball flew away spinning.,घुम्नु,बल घुम्दै टाढा उड्यो।,ボールは（　）しながら遠くに飛んだ,１,,,,,,,,,,,,,,,,,,,
48,ガイドブック,ガイドブック,guidebook,ガイドブックで名所を調べた。,I looked up places of interest in the guidebook.,पर्यटक पुस्तिका,मैले पर्यटक पुस्तिकामा प्रसिद्ध स्थानहरू हेरें।,（　）で名所を調べた,１,,,,,,,,,,,,,,,,,,,
49,かきとめ,書留,registered mail,大事な手紙なので、書留で出した。,"Because it was an important letter, I sent it by registered mail.",रजिस्टर्ड मेल,"महत्त्वपूर्ण पत्र भएकोले, मैले रजिस्टर्ड मेलबाट पठाएँ।",大事な手紙なので、（　）で出した,１,,,,,,,,,,,,,,,,,,,
50,かくだい,拡大（する）,"enlargement, expansion",地図が小さいときは、拡大して見るといい。,"If the map is too small, it's better to enlarge it to look at.",विस्तार,"नक्शा सानो छ भने, यसलाई विस्तार गरेर हेर्नु राम्रो हुन्छ।",地図が小さいときは、（　）して見るといい,１,,,,,,,,,,,,,,,,,,,
51,かじ,家事,housework,休みの日には子供たちも家事を手伝う。,"On holidays, even the children help with the housework.",घरायसी काम,बिदाको दिनमा बच्चाहरू पनि घरायसी काममा मद्दत गर्छन्।,休みの日には子供たちも（　）を手伝う,１,,,,,,,,,,,,,,,,,,,
52,かしだし,貸し出し,lending,図書館の本の貸し出しは、１人10冊までだ。,You can take out 10 library books per person.,उधारो,पुस्तकालयबाट एक व्यक्तिले १० वटासम्म किताबहरू उधारो लिन सक्छ।,図書館の本の（　）は、１人10冊までだ,１,,,,,,,,,,,,,,,,,,,
53,かず,数,number,講演会に参加する人の数は、50名程度だ。,The number of people attending the lecture is about 50.,संख्या,प्रवचनमा भाग लिने मानिसहरूको संख्या लगभग ५० जना छ।,講演会に参加する人の（　）は、50名程度だ,１,,,,,,,,,,,,,,,,,,,
54,かた,型,"model, design, type",新しい型の車に乗った。,I had a ride in a newly designed car.,डिजाइन,मैले नयाँ डिजाइनको गाडीमा यात्रा गरें।,新しい（　）の車に乗った,１,,,,,,,,,,,,,,,,,,,
55,かたほう,片方,"one of two, one side",手袋の片方を落としてしまった。,I've dropped one of my gloves.,एक जोडीको एउटा,मैले पञ्जाको एक जोडीको एउटा खसालेँ।,手袋の（　）を落としてしまった,１,,,,,,,,,,,,,,,,,,,
56,カタログ,,catalog,服のカタログを見て、ネットで注文した。,I had a look at a clothes catalog and then ordered on the Internet.,क्याटलग,मैले लुगाको क्याटलग हेरेर इन्टरनेटबाट अर्डर गरें।,服の（　）を見て、ネットで注文した,１,,,,,,,,,,,,,,,,,,,
57,かち,価値,value,彼なら、この絵の価値が分かるでしょう。,"I think if you ask him, he'll know the value of the picture.",मूल्य,"यदि तपाईं उनलाई सोध्नुभयो भने, उनलाई यो चित्रको मूल्य थाहा हुनेछ।",彼なら、この絵の（　）が分かるでしょう,１,,,,,,,,,,,,,,,,,,,
58,カット,,cut,美容院で髪の毛をカットしてもらった。,I had my hair cut at the salon.,काट्नु,मैले सैलुनमा कपाल काट्न लगाएँ।,美容院で髪の毛を（　）してもらった,１,,,,,,,,,,,,,,,,,,,
59,かつどう,活動（する）,"action, activity",夜に活動する動物もいる。,There are also animals that are active at night.,क्रियाकलाप,रातमा सक्रिय हुने जनावरहरू पनि छन्।,夜に（　）する動物もいる,１,,,,,,,,,,,,,,,,,,,
60,がまん,我慢（する）,"patience, endurance",薬はひどく苦かったが、我慢して飲んだ。,"The medicine was terribly bitter, but I took it on the chin and drank it.",सहनु,"औषधि धेरै तितो थियो, तर मैले सहेर पिएँ।",薬はひどく苦かったが、（　）して飲んだ,１,,,,,,,,,,,,,,,,,,,
61,かみ,神,god,合格しますようにと神に祈った。,I prayed to god that I would pass the exam.,भगवान,मैले परीक्षामा पास हुनको लागि भगवानलाई प्रार्थना गरें।,合格しますようにと（　）に祈った,１,,,,,,,,,,,,,,,,,,,
62,から,空,empty,お金を払おうとしたら、財布は空だった。,I was about to pay and found my wallet empty.,खाली,"जब म पैसा तिर्न जान लागेको थिएँ, मेरो वालेट खाली थियो।",お金を払おうとしたら、財布は（　）だった,１,,,,,,,,,,,,,,,,,,,
63,かわ,革,leather,卒業祝いに革の財布をもらった。,I received a leather wallet as a graduation present.,छाला,मैले स्नातक उपहारको रूपमा छालाको वालेट पाएँ।,卒業祝いに（　）の財布をもらった,１,,,,,,,,,,,,,,,,,,,
64,かんげい,歓迎（する）,welcome,新入生を歓迎して、パーティーを開いた。,We held a party to welcome the new students.,स्वागत,हामीले नयाँ विद्यार्थीहरूलाई स्वागत गर्न एउटा पार्टी आयोजना गर्यौं।,新入生を（　）して、パーティーを開いた,１,,,,,,,,,,,,,,,,,,,
65,かんこう,観光,sightseeing,最近、私の国に観光に来る人が増えている。,"Recently, the number of people coming to my country to sightsee is increasing.",पर्यटन,"हालसालै, मेरो देशमा पर्यटनको लागि आउने मानिसहरूको संख्या बढिरहेको छ।",最近、私の国に（　）に来る人が増えている,１,,,,,,,,,,,,,,,,,,,
66,かんさつ,観察（する）,observation,毎日、植物の成長を観察している。,Every day I am observing the growth of the plants.,अवलोकन,म हरेक दिन बिरुवाहरूको वृद्धिको अवलोकन गर्दछु।,毎日、植物の成長を（　）している,１,,,,,,,,,,,,,,,,,,,
67,かんじ,感じ,"impression, feeling",その人は３０歳ぐらいの感じだった。,I had the impression that that person was about 30 years old.,अनुभूति,मलाई लाग्यो कि त्यो व्यक्ति लगभग ३० वर्षको थियो।,その人は３０歳ぐらいの（　）だった,１,,,,,,,,,,,,,,,,,,,
68,かんしゃ,感謝（する）,"gratitude, thankfulness",いろいろ助けてくださって、感謝しています。,I am grateful for the various ways you have helped me.,कृतज्ञता,तपाईंले मलाई विभिन्न तरिकाले मद्दत गर्नुभएकोमा म कृतज्ञ छु।,いろいろ助けてくださって、（　）しています,１,,,,,,,,,,,,,,,,,,,
69,かんじょう,感情,"feeling, emotion",彼は、喜びや悲しみの感情がすぐ顔に出る。,Feelings of happiness or sadness quickly show on his face.,भावना,खुशी वा दुःखको भावनाहरू छिट्टै उनको अनुहारमा देखिन्छन्।,彼は、喜びや悲しみの（　）がすぐ顔に出る,１,,,,,,,,,,,,,,,,,,,
70,かんしん,感心（する）,admiration,店のサービスの良さに感心した。,I was impressed with the quality of the service in that shop.,प्रशंसा,म त्यो पसलको सेवाको गुणस्तरबाट प्रभावित भएँ।,店のサービスの良さに（　）した,１,,,,,,,,,,,,,,,,,,,
71,かんしん,関心,"interest, concern",日本のアニメや漫画に関心がある。,I am interested in Japanese anime and manga.,चासो,मलाई जापानी एनिमे र मंगामा चासो छ।,日本のアニメや漫画に（　）がある,１,,,,,,,,,,,,,,,,,,,
72,かんせい,完成（する）,completion,ビルは予定通りに完成した。,The building was completed on schedule.,सम्पन्न,भवन तालिका अनुसार नै सम्पन्न भयो।,ビルは予定通りに（　）した,１,,,,,,,,,,,,,,,,,,,
73,かんそう,感想,"impression, opinion",友達に昨日読んだ小説の感想を話した。,I told my friend my impressions of the book I read yesterday.,प्रतिक्रिया,मैले मेरो साथीलाई हिजो पढेको पुस्तकको बारेमा मेरो प्रतिक्रिया बताएँ।,友達に昨日読んだ小説の（　）を話した,１,,,,,,,,,,,,,,,,,,,
74,かんどう,感動（する）,"deep impression, moving",彼女の歌を聞いて、感動した。,I was moved when I heard her sing.,भावुक,म उनको गीत सुनेर भावुक भएँ।,彼女の歌を聞いて、（　）した,１,,,,,,,,,,,,,,,,,,,
75,かんぱい,乾杯（する）,toast,友人の結婚を祝って、みんなで乾杯した。,Everyone drank a toast to celebrate my friend's wedding.,शुभकामना पान,मेरो साथीको विवाहको उपलक्ष्यमा सबैले शुभकामना पान गरे।,友人の結婚を祝って、みんなで（　）した,１,,,,,,,,,,,,,,,,,,,
76,かんり,管理（する）,management,個人情報の管理は厳しくする必要がある。,The management of people's personal information needs to be tightened.,व्यवस्थापन,व्यक्तिगत जानकारीको व्यवस्थापन कडा हुनु आवश्यक छ।,個人情報の（　）は厳しくする必要がある,１,,,,,,,,,,,,,,,,,,,
77,かんれん,関連（する）,"connection, relation",専門に関連がある本を読む。,I will read a book connected with my specialty.,सम्बन्धित,म मेरो विशेषज्ञता सँग सम्बन्धित पुस्तक पढ्नेछु।,専門に（　）がある本を読む,１,,,,,,,,,,,,,,,,,,,
78,きかい,機会,chance,機会があったら、留学したい。,"If I have the chance, I want to study overseas.",अवसर,"यदि मलाई अवसर मिल्यो भने, म विदेशमा अध्ययन गर्न चाहन्छु।",（　）があったら、留学したい,１,,,,,,,,,,,,,,,,,,,
79,ききめ,効きめ,effect,その薬は、お茶で飲むと効きめがない。,"That medicine, if you drink it with tea, has no effect.",प्रभाव,"त्यो औषधि, यदि तपाईंले चियासँग पिउनुभयो भने, कुनै प्रभाव छैन।",その薬は、お茶で飲むと（　）がない,１,,,,,,,,,,,,,,,,,,,
80,きこく,帰国（する）,returning to one's home country,日本の大学を卒業したら、帰国する。,"After I graduate from university in Japan, I shall return to my country.",स्वदेश फिर्ता,"जापानमा विश्वविद्यालयबाट स्नातक गरेपछि, म स्वदेश फिर्ता हुनेछु।",日本の大学を卒業したら、（　）する,１,,,,,,,,,,,,,,,,,,,
81,きじ,記事,article,新聞は、いつも経済の記事から読む。,"With newspapers, I always start reading from articles on the economy.",लेख,म पत्रिकामा सधैं अर्थशास्त्रका लेखहरूबाट पढ्न सुरु गर्छु।,新聞は、いつも経済の（　）から読む,１,,,,,,,,,,,,,,,,,,,
82,ぎじゅつ,技術,technology,技術が進んで、人々の生活が便利になった。,"As technology has advanced, people's lives have become more convenient.",प्रविधि,"प्रविधि विकसित भएसँगै, मानिसहरूको जीवन अझ सजिलो भएको छ।",（　）が進んで、人々の生活が便利になった,１,,,,,,,,,,,,,,,,,,,
83,きたい,期待（する）,expectation,社長は若い社員に期待している。,The company president is expecting much from the young staff.,अपेक्षा,कम्पनीको अध्यक्षले युवा कर्मचारीहरूबाट धेरै अपेक्षा गर्दैछन्।,社長は若い社員に（　）している,１,,,,,,,,,,,,,,,,,,,
84,きたく,帰宅（する）,returning home,娘は仕事が忙しくて、毎日帰宅が遅い。,"My daughter is very busy at work, and she returns home late every day.",घर फर्कनु,"मेरी छोरी कामले धेरै व्यस्त छ, र उनी हरेक दिन ढिलो घर फर्कन्छिन्।",娘は仕事が忙しくて、毎日（　）が遅い,１,,,,,,,,,,,,,,,,,,,
85,きちょうひん,貴重品,valuables,ホテルのフロントに貴重品を預けた。,I left my valuables with the front desk of the hotel.,मूल्यवान वस्तु,मैले होटलको रिसेप्सनमा मेरो मूल्यवान वस्तुहरू राखें।,ホテルのフロントに（　）を預けた,１,,,,,,,,,,,,,,,,,,,
86,きにゅう,記入（する）,"entry, filling out",書類に生年月日を記入してください。,Please enter your date of birth on the form.,भर्नु,फारममा आफ्नो जन्म मिति भर्नुहोस्।,書類に生年月日を（　）してください,１,,,,,,,,,,,,,,,,,,,
87,きねん,記念（する）,commemoration,卒業を記念して、クラス全員で写真を撮った。,"To commemorate our graduation, we took a photo of the whole class.",स्मारक,"हाम्रो स्नातक समारोहको स्मरणमा, हामीले पूरै कक्षाको फोटो खिच्यौं।",卒業を（　）して、クラス全員で写真を撮った,１,,,,,,,,,,,,,,,,,,,
88,きぼう,希望（する）,"wish, hope",彼は希望の大学に合格した。,He got into the university he hoped for.,इच्छा,उनी आफूले चाहेको विश्वविद्यालयमा भर्ना भए।,彼は（　）の大学に合格した,１,,,,,,,,,,,,,,,,,,,
89,きほん,基本,basic,どんなことも基本を学ぶことが大事だ。,"In any field, it's important to learn the basics.",आधारभूत,"कुनै पनि क्षेत्रमा, आधारभूत कुराहरू सिक्नु महत्त्वपूर्ण छ।",どんなことも（　）を学ぶことが大事だ,１,,,,,,,,,,,,,,,,,,,
90,ぎむ,義務,"duty, responsibility",親は、子供に教育を受けさせる義務がある。,It's a parent's duty to have his/her children educated.,कर्तव्य,आफ्ना बच्चाहरूलाई शिक्षित बनाउनु अभिभावकको कर्तव्य हो।,親は、子供に教育を受けさせる（　）がある,１,,,,,,,,,,,,,,,,,,,
91,ぎもん,疑問,"question, doubt",聞いた話が本当かどうか、疑問だ。,I have doubts about whether what I heard is true or not.,शंका,मैले सुनेको कुरा सत्य हो कि होइन भन्ने बारेमा मलाई शंका छ।,聞いた話が本当かどうか、（　）だ,１,,,,,,,,,,,,,,,,,,,
92,きゅうけい,休憩（する）,break,10分休憩してから、また仕事をしよう。,Let's carry on working after taking a 10-minute break.,विश्राम,"१० मिनेटको विश्राम लिएपछि, फेरि काम गरौं।",10分（　）してから、また仕事をしよう,１,,,,,,,,,,,,,,,,,,,
93,きゅうよう,急用,urgent business/matter,急用ができたので、お先に失礼します。,"Something urgent has come up, so I'm sorry, but I have to leave.",आपतकालीन काम,"केही आपतकालीन काम आयो, त्यसैले माफ गर्नुहोस्, मलाई जानुपर्छ।",（　）ができたので、お先に失礼します,１,,,,,,,,,,,,,,,,,,,
94,ぎょうじ,行事,event,秋のお祭りは、この町の大切な行事だ。,The fall festival is an important event in this town.,कार्यक्रम,शरद ऋतुको उत्सव यस शहरको एक महत्त्वपूर्ण कार्यक्रम हो।,秋のお祭りは、この町の大切な（　）だ,１,,,,,,,,,,,,,,,,,,,
95,きょうそう,競争（する）,competition,弟と速く計算できるか、競争した。,I competed with my younger brother to see who could calculate it quicker.,प्रतिस्पर्धा,म र मेरो भाइले को चाँडो गणना गर्न सक्छ भनेर प्रतिस्पर्धा गर्यौं।,弟と速く計算できるか、（　）した,１,,,,,,,,,,,,,,,,,,,
96,きょうつう,共通（する）,common,私と彼の共通の趣味はテニスだ。,The hobby that he and I have in common is tennis.,सामान्य,मेरो र उनको सामान्य शौक टेनिस हो।,私と彼の（　）の趣味はテニスだ,１,,,,,,,,,,,,,,,,,,,
97,きょうりょく,協力（する）,cooperation,みんなの協力でチームが優勝できた。,With everyone's cooperation our team could win.,सहयोग,सबैको सहयोगले हाम्रो टोली जित्न सफल भयो।,みんなの（　）でチームが優勝できた,１,,,,,,,,,,,,,,,,,,,
98,ぎょうれつ,行列（する）,"line, queue",安売りの店の前に行列ができている。,A line has formed in front of that discount store.,लाइन,त्यो सस्तो पसलको अगाडि लाइन लागेको छ।,安売りの店の前に（　）ができている,１,,,,,,,,,,,,,,,,,,,
99,きょか,許可（する）,permission,医師から許可が出て、やっと退院できた。,"With permission from the doctor, I was finally able to get out of hospital.",अनुमति,"डाक्टरको अनुमतिले, मैले अन्ततः अस्पताल छोड्न सकें।",医師から（　）が出て、やっと退院できた,１,,,,,,,,,,,,,,,,,,,
100,ぎょぎょう,漁業,fishing industry,この地域は、いい港があって漁業が盛んだ。,This region has a great harbor so the fishing industry is flourishing.,माछा व्यवसाय,यो क्षेत्रमा राम्रो बन्दरगाह छ त्यसैले माछा व्यवसाय फस्टाएको छ।,この地域は、いい港があって（　）が盛んだ,１,,,,,,,,,,,,,,,,,,,
