ka,NP1,JP-kanji,JP-rubi,NP-sentence,JP-question,exa,renban,S0,S3,S5,S7,S2,S4,N2,N4,N6,N8,,,,,,,,,
4,आफुले पाउनु,頂く,いただく,मेरो शिक्षकले मलाई एउटा किताब दिनुभयो,先生に本を（　）ました,先生に本をいただきました,48,1,,,,,,,,,,,,,,,,,,
4,धन्यवाद दिनु,お礼,おれい,मैले शिक्षकलाई धन्यवाद दिएँ,先生に（　）を言いました,先生にお礼を言いました,49,1,,,,,,,,,,,,,,,,,,
5,वेलकम प्रोग्राम,入学式,にゅうがくしき,अप्रिलमा एक वेलकम प्रोग्राम  हुनेछ।,４月に（　）があります,４月に入学式があります,50,1,,,,,,,,,,,,,,,,,,
5,शिक्षा,教育,きょういく,विश्वविद्यालयको शिक्षा ४ वर्षको हुन्छ,大学の（　）は、４年間です,大学の教育は、４年間です,51,1,,,,,,,,,,,,,,,,,,
5,व्याख्या,講義,こうぎ,त्यो व्याख्यान रोचक थियो,あの（　）は面白かったです,あの講義は面白かったです,52,1,,,,,,,,,,,,,,,,,,
5,त्यसैले,,だから,मैले पढेको थिइन। त्यही भएर मैले परीक्षामा राम्रो अंक ल्याउन सकिन ।,勉強をしませんでした。（　）テストで良い点が取れませんでした,勉強をしませんでした。だからテストで良い点が取れませんでした,53,1,,,,,,,,,,,,,,,,,,
5,सकेसम्म,,なるべく,सकेसम्म  बिहान सबेरै उठेर पढ्थेँ ।,朝（　）早く起きて勉強しました,朝なるべく早く起きて勉強しました,54,1,,,,,,,,,,,,,,,,,,
5,मेहनत गरेर,一生懸命,いっしょうけんめい,मैले कडा मेहनत गरेर कान्जी पढेँ,（　）漢字を勉強しました,一生懸命漢字を勉強しました,55,1,,,,,,,,,,,,,,,,,,
5,अन्तमा,,やっと,मैले अन्ततः समस्याको जवाफ बुझें,問題の答えが（　）分かりました,問題の答えがやっと分かりました,56,1,,,,,,,,,,,,,,,,,,
5,यति मात्रै हो、बढि,以上,いじょう,"यदि तपाईंले परीक्षामा 150 अंक वा बढी प्राप्त गर्नुभयो भने, तपाईं विदेशमा अध्ययन गर्न सक्नुहुन्छ।",テストで１５０点（　）取れば、留学できます,テストで１５０点以上取れば、留学できます,57,1,,,,,,,,,,,,,,,,,,
5,जोड्नु,足す,たす,दुई परीक्षणबाट अंकहरूको योगफल 160 अंक हो।,二つのテストの点を（　）と１６０点です,二つのテストの点を足すと１６０点です,58,1,,,,,,,,,,,,,,,,,,
5,अन्तमा,,とうとう,अन्ततः मैले विदेशमा जापानमा अध्ययन गर्ने निर्णय गरें।,（　）日本に留学することになりました,とうとう日本に留学することになりました,59,1,,,,,,,,,,,,,,,,,,
5,"सिनिअर्, आफु भन्दा ठुलो",先輩,せんぱい,मैले विश्वविद्यालयका एक　सिनिअर्　बाट एउटा किताब सापटी  लिएँ।,大学の（　）から本を借りました,大学の先輩から本を借りました,60,1,,,,,,,,,,,,,,,,,,
5,जानु,伺う,うかがう,म मेरो　सिनिअर्र्को घर गएँ।,先輩のお宅に（　）ました,先輩のお宅に伺いました,61,1,,,,,,,,,,,,,,,,,,
5,धेरै समय पछि,久しぶりに,ひさしぶりに,मैले केही समयपछि पहिलो पटक मेरो वरिष्ठलाई भेटें,（　）先輩に会いました,久しぶりに先輩に会いました,62,1,,,,,,,,,,,,,,,,,,
6,गएर आउछु,行って参ります,いってまいります,मैले ‘गएर आउछु ’ भनेँ र घरबाट निस्किएँ।,「（　）」と言って、うちを出ました。,「行って参ります」と言って、うちを出ました,63,1,,,,,,,,,,,,,,,,,,
6,धेरै सुत्नु,寝坊する,ねぼうする,"म बिहान सबेरै उठ्ने योजनामा ​​थिएँ, तर म धेरै निदाएँ।",朝早く起きるつもりでしたが、（　）しました。,朝早く起きるつもりでしたが、寝坊しました,64,1,,,,,,,,,,,,,,,,,,
6,ढिलो हुनु,遅刻する,ちこくする,म ढिला भएँ,（　）してしまいました。,遅刻をしてしまいました,65,1,,,,,,,,,,,,,,,,,,
6,लज्जास्पद,恥ずかしい,はずかしい,म ढिलो भएँ र यो लाजमर्दो थियो।,遅刻して（　）かったです,遅刻して、恥ずかしかったです,66,1,,,,,,,,,,,,,,,,,,
6,दुर्भाग्यपूर्ण,残念な,ざんねんな,पुस्तकालय बन्द हुनु दुःखद् कुरा हो ।,図書館が閉まっていて（　）でした,図書館が閉まっていて、残念でした,67,1,,,,,,,,,,,,,,,,,,
6,प्रयोग गर्नुहोस्,利用する,りようする,पुस्तकालय साँझ ५ बजेसम्म प्र्योग गर्न सकिन्छ ।,図書館は夕方5時まで（　）できます。,図書館は夕方5時まで利用できます,68,1,,,,,,,,,,,,,,,,,,
6,पौडी खेल्ने,水泳,すいえい,म सानो छँदा पौडी खेल्न सिकें।,子供の頃（　）を習っていました。,子供の頃、水泳を習っていました,69,1,,,,,,,,,,,,,,,,,,
6,प्रशंसा,褒める,ほめる,शिक्षकले मेरो प्रशंसा गरे,先生が私を（　）くれました,先生が私を褒めてくれました,70,1,,,,,,,,,,,,,,,,,,
6,डायरी,日記,にっき,मैले मेरो डायरीमा लेखें कि मलाई खुशी लाग्यो।,うれしかったことを、（　）に書きました。,うれしかったことを、日記に書きました,71,1,,,,,,,,,,,,,,,,,,
6,कारण,訳,わけ,"केही कारणले, मैले पौडी खेल्न छोडें।",（　）があって、水泳教室を辞めました。,訳があって、水泳教室を辞めました,72,1,,,,,,,,,,,,,,,,,,
6,धम्की,,いじめる,कान्छो भाइलाई उसको जेठो दाजुले गाली गर्यो र रोयो।,弟は兄に（　）られて、泣きました,弟は兄にいじめられて、泣きました,73,1,,,,,,,,,,,,,,,,,,
6,गाली गर्नु,叱る,しかる,भाइलाई आमाले गाली गर्नुहुन्थ्यो,兄は母に（　）られました,兄は母に叱られました,74,1,,,,,,,,,,,,,,,,,,
7,खेलौना,,おもちゃ,बच्चाहरु को लागि खेलौना किन्न,子供に（　）を買います,子供におもちゃを買います,75,1,,,,,,,,,,,,,,,,,,
7,पसलको मान्छे,店員,てんいん,म पसल क्लर्कलाई खेलौनाहरू कहाँ छन् भनेर सोध्छु।,おもちゃはどこか、（　）に聞いてみます,おもちゃはどこか、店員に聞いてみます,76,1,,,,,,,,,,,,,,,,,,
7,काउन्टर,,レジ,"मैले　काउन्टर मा 3,000 येन तिरें।","（　）で3,000円払いました","レジで3,000円払いました",77,1,,,,,,,,,,,,,,,,,,
7,"फिर्ता, खुल्ला पैसा",お釣り,おつり,मैले फिर्ता पैसा पाउन बिर्सें,（　）をもらうのを忘れました,お釣りをもらうのを忘れました,78,1,,,,,,,,,,,,,,,,,,
7,कम्प्युटर,,パソコン,इलेक्ट्रोनिक्स पसलमा कम्प्युटर　किन्छु ।.,電気屋で（　）を買います,電気屋でパソコンを買います,79,1,,,,,,,,,,,,,,,,,,
7,~ द्वारा बनाईएको,〜製,〜せい,यो कम्प्युटर जापानमा बनेको हो,このパソコンは日本（　）です,このパソコンは日本製です,80,1,,,,,,,,,,,,,,,,,,
7,निर्णय गरियो,決まる,きまる,म के किन्ने निर्णय गर्न सक्दिन,買う物がなかなか（　）ません,買う物がなかなか決まりません,81,1,,,,,,,,,,,,,,,,,,
7,तुलना गर्नुहोस्,比べる,くらべる,दुई कम्प्युटर तुलना　गरे,2台のパソコンを（　）ました,2台のパソコンを比べました,82,1,,,,,,,,,,,,,,,,,,
7,छान्नुहोस्,選ぶ,えらぶ,मैले हल्का कम्प्युटर रोजें।,軽い方のパソコンを（　）ました,軽い方のパソコンを選びました,83,1,,,,,,,,,,,,,,,,,,
7,ऐना,鏡,かがみ,लुगा लगाएर ऐनामा हेरेँ ।,服を着て、（　）で見てみました,服を着て、鏡で見てみました,84,1,,,,,,,,,,,,,,,,,,
7,तपाईलाई राम्रो देखिन्छ,似合う,にあう,यो पोशाक मलाई सुहाउँदैन,この服は私に（　）ません,この服は私に似合いません,85,1,,,,,,,,,,,,,,,,,,
7,व्यापार को लागी खुला,営業する,えいぎょうする,यो पसल बेलुका ८ बजेसम्म खुला रहन्छ,この店は夜8時まで（　）しています,この店は夜8時まで営業しています,86,1,,,,,,,,,,,,,,,,,,
7,स्टोर खुल्छ,店が開く,みせがひらく,यो पसल बेलुका ८ बजेसम्म खुल्छ।,この店は夜8時まで（　）ています,この店は夜8時まで店が開いています,87,1,,,,,,,,,,,,,,,,,,
8,खाली हुन,空く,すく,मलाई भोक लागेको छ।,おなかが（　）ましたね,おなかがすきましたね,88,1,,,,,,,,,,,,,,,,,,
8,खाना खानु,食事する,しょくじする,के तपाई खाना खान बाहिर जान चाहनुहुन्छ?,（　）に行きませんか,食事に行きませんか,89,1,,,,,,,,,,,,,,,,,,
8,"बिस्तारै बिस्तारै , अब एकैछिन मा",,そろそろ,बिस्तारै बिस्तारै खाजा खाऔं,（　）昼ご飯にしましょう,そろそろ昼ご飯にしましょう,90,1,,,,,,,,,,,,,,,,,,
8,क्यान्टिन,食堂,しょくどう,के तपाई विश्वविद्यालयको क्यान्टिन मा जान चाहनुहुन्छ?,大学の（　）に行きませんか,大学の食堂に行きませんか,91,1,,,,,,,,,,,,,,,,,,
8,भीडभाड,混む,こむ,क्यान्टिन  भीड छ,食堂は（　）でいます,食堂は混んでいます,92,1,,,,,,,,,,,,,,,,,,
8,नरम,柔らかい,やわらかい,यो रोटी नरम छ,このパンは（　）ですね,このパンは柔らかいですね,93,1,,,,,,,,,,,,,,,,,,
8,सार्हो,固い,かたい,यो मासु सार्हो छ,この肉は（　）です,この肉は固いです,94,1,,,,,,,,,,,,,,,,,,
8,स्वाद छ,味がする,あじがする,यो परिकार अनौठो स्वाद छ,この料理は変な（　）ます,この料理は変な味がします,95,1,,,,,,,,,,,,,,,,,,
8,चपाउने,噛む,かむ,खानु अघि सबै कुरा राम्ररी चपाउनुहोस्,何でもよく（　）で食べましょう,何でもよくかんで食べましょう,96,1,,,,,,,,,,,,,,,,,,
8,असम्भव,無理な,むりな,यति धेरै खान असम्भव छ,こんなにたくさん食べるのは（　）です,こんなにたくさん食べるのは無理です,97,1,,,,,,,,,,,,,,,,,,
8,पूर्ण,,いっぱい,म पहिले नै　अघाईसकेको छु,もうおなかが（　）です,もうおなかがいっぱいです,98,1,,,,,,,,,,,,,,,,,,
8,जतिसुकै भए पनि,,いくら～ても,जति खाए पनि चाँडै भोक लाग्छ ।,（　）食べても、すぐにおなかがすきます,いくら食べても、すぐにおなかがすきます,99,1,,,,,,,,,,,,,,,,,,
9,तयार गर्ने,支度する,したくする,लंच तयार गरौं,昼ご飯の（　）をしましょう,昼ご飯の支度をしましょう,100,1,,,,,,,,,,,,,,,,,,
9,व्याख्या गर्नुहोस्,説明する,せつめいする,म खाना कसरी बनाउने भनेर वर्णन गर्नेछु,料理の作り方を（　）します,料理の作り方を説明します,101,1,,,,,,,,,,,,,,,,,,
9,तयार गर्ने,準備する,じゅんびする,मैले करी बनाउनका लागि सामग्री तयार गरें।,カレーを作る材料を（　）しました,カレーを作る材料を準備しました,102,1,,,,,,,,,,,,,,,,,,
9,राम्रोसँग（सानो वा मसिनो,細かく,こまかく,कृपया तरकारी राम्ररी काट्नुहोस्,野菜を（　）切ってください,野菜を細かく切ってください,103,1,,,,,,,,,,,,,,,,,,
9,फोहोर हुनु,汚れる,よごれる,"मेरा हातहरू फोहोर छन्, त्यसैले म धुन्छु।",手が（　）たので、洗います,手が汚れたので、洗います,104,1,,,,,,,,,,,,,,,,,,
9,उमाल्नु,沸かす,わかす,कृपया पानी उमाल्नुहोस्,お湯を（　）してください,お湯を沸かしてください,105,1,,,,,,,,,,,,,,,,,,
9,फिट、मिल्नु,合う,あう,सलाद करी संग मिल्छ ।,カレーにはサラダが（　）ます,カレーにはサラダが合います,106,1,,,,,,,,,,,,,,,,,,
9,रिजर्भेसन गर्नु,予約する,よやくする,रेस्टुरेन्ट रिजर्भेसन गर्नुहोस्,レストランを（　）しましょう,レストランを予約しましょう,107,1,,,,,,,,,,,,,,,,,,
9,खाली हुन,空く,すく,रेस्टुरेन्ट खाली थियो,レストランは（　）ていました,レストランはすいていました,108,1,,,,,,,,,,,,,,,,,,
9,भीडभाड,混む,こむ,रेस्टुरेन्टमा भीड थियो,レストランは（　）いました,レストランは混んでいました,109,1,,,,,,,,,,,,,,,,,,
9,मैले बुझें,,かしこまりました,"ग्राहक: कृपया मलाई कफी चाहियो।
लिपिक: काशीकोमारिमासु","客：コーヒーをお願いします
店員：（　）","客：コーヒーをお願いします
店員：かしこまりました",110,1,,,,,,,,,,,,,,,,,,
9,मूल्य,値段,ねだん,यस पसलमा  मूल्य　सस्तो छ ।,この店は（　）が安いです,この店は値段が安いです,111,1,,,,,,,,,,,,,,,,,,
9,भुक्तान,払う,はらう,मैले　काउन्टरमा भुक्तानी गरें,レジでお金を（　）ました,レジでお金を払いました,112,1,,,,,,,,,,,,,,,,,,
10,सुरक्षित,安全な,あんぜんな,यो शहर सुरक्षित र बस्न सजिलो छ,この町は（　）で住みやすいです,この町は安全で住みやすいです,113,1,,,,,,,,,,,,,,,,,,
10,असुविधाजनक,不便な,ふべんな,"पसलबाट टाढा छ, किनमेल गर्न असुविधाजनक छ।",店から遠くて、買い物に（　）です,店から遠くて、買い物に不便です,114,1,,,,,,,,,,,,,,,,,,
10,~ तल,〜以下,いか,"कोठा ठूलो भए पनि भाडा ५०,००० येन भन्दा कम छ।",広い部屋ですが、家賃は5万円（　）です,広い部屋ですが、家賃は5万円以下です,115,1,,,,,,,,,,,,,,,,,,
10,~ वा बढी,〜以上,いじょう,कोठा सानो भए पनि भाडा १० लाख येनभन्दा बढी छ ।,狭い部屋ですが、家賃は100万円（　）です,狭い部屋ですが、家賃は100万円以上です,116,1,,,,,,,,,,,,,,,,,,
10,छत,屋上,おくじょう,तपाईं छतबाट समुद्र देख्न सक्नुहुन्छ,（　）から海が見えます,屋上から海が見えます,117,1,,,,,,,,,,,,,,,,,,
10,पालनपोषण,育てる,そだてる,बगैंचामा फूलहरू लगाइएको छ ।,庭で花を（　）ています,庭で花を育てています,118,1,,,,,,,,,,,,,,,,,,
10,सजाउनु,飾る,かざる,मैले टेबललाई फूलले सजाइदिएँ,テーブルに花を（　）ました,テーブルに花を飾りました,119,1,,,,,,,,,,,,,,,,,,
10,सफा गर्नु,片付ける,かたづける,मैले मेरो कोठा सफा गरें,自分の部屋を（　）ました,自分の部屋を片付けました,120,1,,,,,,,,,,,,,,,,,,
10,फाल्नु,捨てる,すてる,मैले नचाहिने चीजहरू फ्याँकिदिएँ,いらない物を（　）ました,いらない物を捨てました,121,1,,,,,,,,,,,,,,,,,,
10,भित्ता,壁,かべ,भित्तामा तस्विर कोरें,（　）に絵をかけました,壁に絵をかけました,122,1,,,,,,,,,,,,,,,,,,
10,रंगलगाउनु,塗る,ぬる,भित्ताहरू मा सेतो रङ लगाइयो ।,壁を白く（　）ました,壁を白く塗りました,123,1,,,,,,,,,,,,,,,,,,
10,घरा,引き出し,ひきだし,दराज खुल्दैन,（　）が開きません,引き出しが開きません,124,1,,,,,,,,,,,,,,,,,,
10,ठीक गर्नुहोस्（बिग्रेको चिज बनाउनु । ）,直す,なおす,मैले भाँचिएको दराज बनाए,壊れた引き出しを（　）ました,壊れた引き出しを直しました,125,1,,,,,,,,,,,,,,,,,,
11,यातायात,交通,こうつう,यो शहर यातायातमा　सुविधाजनक  छ,この町は（　）が便利です,この町は交通が便利です,126,1,,,,,,,,,,,,,,,,,,
11,धेरै,多い,おおい,यो बाटोमा धेरै गाडीहरु छन्,この道は車が（　）です,この道は車が多いです,127,1,,,,,,,,,,,,,,,,,,
11,डराएको,怖い,こわい,त्यो बाटो रातमा अँध्यारो र डरलाग्दो हुन्छ।,その道は夜、暗くて（　）です,その道は夜、暗くて怖いです,128,1,,,,,,,,,,,,,,,,,,
11,"यसबाहेक,",,それに,"त्यो बाटो साँघुरो छ । साथै, यो अँध्यारो र खतरनाक छ।",その道は狭いです。（　）、暗くて危ないです,その道は狭いです。それに、暗くて危ないです,129,1,,,,,,,,,,,,,,,,,,
11,अगाडि बढ्नु,進む,すすむ,"यो खतरनाक छ, त्यसैले बिस्तारै जानुहोस्।",危ないので、ゆっくり（　）ます,危ないので、ゆっくり進みます,130,1,,,,,,,,,,,,,,,,,,
11,"
उकालो",坂,さか,यो सहरमा धेरै उकालो हरू छन्,この町は（　）が多いです,この町は坂が多いです,131,1,,,,,,,,,,,,,,,,,,
11,लिन जानु,迎える,むかえる,म मेरो साथीलाई लिन एयरपोर्ट जाँदैछु।,友達を（　）に空港へ行きます,友達を迎えに空港へ行きます,132,1,,,,,,,,,,,,,,,,,,
11,एक्सप्रेस,急行,きゅうこう,"यदि तपाईं एयरपोर्ट जान चाहनुहुन्छ भने, एक्सप्रेस ट्रेन सुविधाजनक छ।",空港へ行くなら、（　）が便利です,空港へ行くなら、急行が便利です,133,1,,,,,,,,,,,,,,,,,,
11,जानु,出発する,しゅっぱつする,बस यहाँबाट छुट्छ,バスは、ここから（　）します,バスは、ここから出発します,134,1,,,,,,,,,,,,,,,,,,
11,केहि समय अघि,,さっき,बस भर्खरै छुटेको छ,バスは、（　）出発しました,バスは、さっき出発しました,135,1,,,,,,,,,,,,,,,,,,
11,खाली,空く,あく,"सिट खाली छ, बसौं।",席が（　）いたので、座りましょう,席が空いたので、座りましょう,136,1,,,,,,,,,,,,,,,,,,
11,निर्माण कार्य गर्न,工事する,こうじする,विमानस्थलको भवन निर्माणको काम भइरहेको छ ।,空港は建物の（　）をしています,空港は建物の工事をしています,137,1,,,,,,,,,,,,,,,,,,
12,चाँडै,,もうすぐ,गर्मी बिदा चाँडै आउँदैछ,（　）夏休みです,もうすぐ夏休みです,138,1,,,,,,,,,,,,,,,,,,
12,योजना,計画する,けいかくする,यात्राको योजना बनाएको थिए,旅行の（　）を立てました,旅行の計画を立てました,139,1,,,,,,,,,,,,,,,,,,
12,तयार गर्ने,用意する,よういする,मैले मेरो सामान तयार गरें।,荷物の（　）をしました,荷物の用意をしました,140,1,,,,,,,,,,,,,,,,,,
12,झ्याउ गर्नु,邪魔に,じゃまに,"यदि तपाईंले आफ्नो सामान यहाँ राख्नुभयो भने, झ्याउ  गर्न सक्छ ।",荷物をここに置くと、（　）なります,荷物をここに置くと、邪魔になります,141,1,,,,,,,,,,,,,,,,,,
12,बोक्ने,運ぶ,はこぶ,कृपया आफ्नो सामान त्यहाँ लैजानुहोस्।,あそこに荷物を（　）でください,あそこに荷物を運んでください,142,1,,,,,,,,,,,,,,,,,,
12,स्मारिका,お土産,おみやげ,यो एक यात्रा स्मारिका हो,これは旅行の（　）です,これは旅行のお土産です,143,1,,,,,,,,,,,,,,,,,,
